id,city,name,address
B0004S344060094,佛山,建设银行佛山建兴支行,佛山市三水区西南街道德兴路22号首层21号、122号、123号，22号之59、60、61、62
B0004S344060095,佛山,建设银行佛山高明支行,佛山市高明区荷城文华路438号
B0004S344060097,佛山,建设银行佛山文华尚领支行,佛山市禅城区文华北路56号首层P13号、P14号、P15号、P16号、P17号、P18号
B0004S344060098,佛山,建设银行佛山城中支行,佛山市高明区荷城街道沧江路182、184号
B0004S344060099,佛山,建设银行佛山建达支行,佛山市高明区荷城街道办事处沧江路418号1座之3、4、5、6铺
B0004S344060100,佛山,建设银行顺德建顺支行,佛山市顺德区乐从镇国际家私城前排健登家具商场首层一、二仓前仓和二楼一、二仓
B0004S344060101,佛山,建设银行顺德北滘支行,佛山市顺德区北滘镇北滘居委会新城区建设南东1、2座
B0004S344060102,佛山,建设银行佛山狮山支行,佛山市南海区狮山镇博爱路8号湖景湾花园会所
B0004S344060103,佛山,建设银行顺德君御花园支行,佛山市顺德区大良街道新桂中路君御花园17、18、19号铺
B0004S344060104,佛山,建设银行佛山汇银支行,佛山市禅城区湖景路26号首层商铺P53、P54、P55、P56、P57号
B0004S344060105,佛山,建设银行顺德碧桂园支行,佛山市顺德区北滘镇碧桂园社区居委会碧桂园国际会所
B0004S344060106,佛山,建设银行佛山里广路支行,佛山市南海区里水镇里广路50号永润广场1号楼18号、19号铺
B0004S344060107,佛山,建设银行佛山金域华庭支行,佛山市南海区大沥镇博爱东路3号金域华庭愉景阁商铺12、13、14、15
B0004S344060108,佛山,建设银行佛山中海万锦支行,佛山市南海区桂城锦园路8号中海万锦豪园紫荆街128、129、130、131、132、133号
B0004S344060109,佛山,建设银行佛山东方水岸支行,佛山市禅城区港口路33号1区首层P3号
B0004S344060111,佛山,建设银行顺德海畔嘉苑支行,佛山市顺德区北滘镇北滘社区居民委员会东基路115号海畔嘉苑15号铺
B0004S344060112,佛山,建设银行佛山沥雅路支行,佛山市南海区大沥镇沥雅路9号38-001
B0004S344060113,佛山,建设银行顺德玫瑰苑支行,佛山市顺德区大良街道延年路都市玫瑰苑18-21号铺
